Easting	Northing	Elevation
330898.337	4309391.277	2867.421
330900.626	4309395.537	2867.244
330902.867	4309400.076	2867.152
330904.738	4309404.629	2867.229
330906.526	4309409.297	2866.839
330908.226	4309414.051	2866.318
330909.715	4309418.590	2865.605
330911.272	4309423.439	2864.916
330912.885	4309428.049	2864.129
330914.432	4309432.753	2863.398
330915.982	4309437.478	2862.663
330917.447	4309442.264	2861.832
330919.027	4309446.954	2861.244
330920.475	4309451.653	2860.507
330922.256	4309456.226	2860.156
330923.568	4309460.869	2859.153
330924.886	4309465.583	2857.363
330926.461	4309469.844	2855.849
330927.803	4309474.570	2854.341
330928.974	4309478.673	2852.264
330930.144	4309482.863	2850.106
330931.788	4309487.005	2847.618
330933.161	4309491.044	2845.002
330934.721	4309495.032	2842.347
330936.261	4309499.000	2839.645
330937.503	4309503.261	2837.472
330939.090	4309507.444	2835.171
330940.523	4309511.789	2833.135
330942.054	4309516.173	2831.180
330943.908	4309520.390	2829.251
330945.473	4309524.606	2827.093
330947.135	4309528.919	2825.114
330948.788	4309533.339	2823.628
330950.432	4309537.836	2822.390
330952.074	4309541.840	2819.989
330953.685	4309546.103	2817.846
330955.607	4309550.556	2816.353
330957.271	4309554.956	2814.905
330959.094	4309559.538	2813.975
330960.902	4309563.935	2812.519
330962.750	4309568.345	2811.249
330964.704	4309572.793	2809.957
330966.497	4309577.279	2809.073
330968.147	4309581.899	2807.740
330970.226	4309586.353	2807.133
330972.030	4309591.036	2806.576
330973.840	4309595.458	2805.449
330975.852	4309599.997	2804.248
330977.689	4309604.512	2803.140
330979.660	4309609.019	2802.413
330981.687	4309613.574	2801.958
330983.538	4309618.160	2801.699
330985.483	4309622.740	2801.769
330987.225	4309627.522	2801.865
330989.394	4309632.069	2801.760
330991.003	4309636.682	2802.282
330993.012	4309641.227	2802.211
330994.881	4309645.739	2801.087
330996.529	4309650.042	2799.248
330998.148	4309654.171	2796.981
330999.668	4309657.684	2793.888
331001.153	4309661.998	2791.169
331002.719	4309666.528	2789.400
331004.414	4309671.072	2788.006
331005.889	4309675.725	2786.974
331007.594	4309680.434	2786.406
331009.606	4309684.876	2785.919
331011.402	4309689.537	2785.362
331013.198	4309694.163	2784.739
331014.910	4309698.799	2783.869
331016.733	4309703.297	2782.782
331018.395	4309707.883	2781.783
331020.166	4309712.541	2780.779
331021.948	4309717.122	2780.021
331023.683	4309721.674	2779.057
331025.398	4309726.237	2778.178
331027.084	4309730.874	2777.406
331028.854	4309735.459	2776.375
331030.573	4309740.045	2775.302
331032.179	4309744.511	2773.981
331033.959	4309749.124	2772.756
331035.525	4309753.615	2771.392
331037.182	4309758.117	2770.225
331038.898	4309762.727	2769.096
331040.553	4309767.313	2768.013
331042.259	4309771.762	2766.592
331043.934	4309776.315	2765.262
331045.654	4309780.801	2764.012
331047.366	4309785.367	2762.970
331049.074	4309789.932	2761.870
331050.878	4309794.544	2760.845
331052.584	4309799.169	2760.188
331054.438	4309803.788	2759.692
331056.147	4309808.467	2759.396
331057.933	4309813.088	2759.131
331059.745	4309817.736	2758.943
331061.512	4309822.426	2758.868
331063.211	4309827.072	2758.588
331064.994	4309831.724	2758.010
331066.863	4309836.377	2757.129
331068.732	4309841.388	2757.021
331070.196	4309845.676	2757.129
331072.230	4309850.369	2757.182
331073.829	4309855.128	2757.277
331075.388	4309859.728	2757.163
331077.248	4309864.375	2757.228
331078.813	4309869.193	2757.083
331080.596	4309873.887	2757.020
331082.462	4309878.500	2756.995
331084.275	4309883.245	2757.045
331085.932	4309887.908	2757.112
331087.757	4309892.588	2757.329
331089.481	4309897.555	2757.414
331091.410	4309902.177	2757.326
331093.239	4309906.788	2757.278
331095.067	4309911.548	2757.311
331096.722	4309916.075	2757.189
331098.614	4309920.729	2756.862
331100.289	4309925.595	2756.091
331102.113	4309930.229	2755.841
331103.777	4309934.857	2755.671
331105.751	4309939.396	2757.154
331107.366	4309944.046	2757.152
331109.071	4309948.660	2756.560
331110.933	4309953.323	2756.334
331112.605	4309957.870	2756.054
331114.426	4309962.529	2756.925
331116.089	4309967.107	2757.051
331117.816	4309971.776	2756.855
331119.439	4309976.476	2756.507
331121.375	4309981.083	2756.129
331122.853	4309985.542	2756.504
331124.599	4309990.528	2757.332
331126.372	4309994.985	2758.564
331128.210	4309999.483	2759.034
331129.916	4310004.070	2759.424
331131.665	4310008.764	2759.945
331133.314	4310013.494	2760.355
331135.057	4310018.081	2760.658
331136.879	4310022.720	2761.323
331138.610	4310027.332	2761.971
331140.398	4310032.064	2762.413
331141.965	4310036.760	2762.719
331143.817	4310041.328	2762.744
331147.282	4310050.645	2764.102
331148.934	4310055.382	2765.004
331150.704	4310059.863	2766.178
331152.322	4310064.281	2767.537
331154.140	4310068.713	2768.916
331155.860	4310073.396	2770.068
331157.466	4310077.855	2771.112
331159.255	4310082.298	2772.365
331160.949	4310086.812	2773.670
331162.438	4310091.605	2774.778
331164.458	4310095.899	2775.836
331165.914	4310100.726	2776.605
331167.503	4310105.217	2777.398
331169.265	4310109.806	2778.748
331171.052	4310114.229	2780.162
331172.664	4310118.895	2781.565
331174.605	4310123.201	2782.982
331175.913	4310127.682	2784.602
331177.796	4310131.909	2785.987
331179.430	4310136.443	2787.419
331181.002	4310140.828	2788.915
331182.729	4310145.308	2790.261
331184.163	4310149.961	2791.603
331185.960	4310154.238	2793.164
331187.570	4310158.800	2794.629
331189.210	4310163.348	2796.023
331190.937	4310167.757	2797.539
331192.612	4310172.205	2798.975
331194.228	4310176.785	2800.250
331195.879	4310181.274	2801.647
331197.609	4310185.777	2803.151
331199.324	4310189.882	2804.606
331200.950	4310194.624	2805.962
331202.535	4310198.861	2807.678
331204.182	4310203.292	2809.345
331205.915	4310207.718	2810.853
331207.576	4310212.187	2812.006
331209.427	4310216.701	2812.805
331211.169	4310221.293	2813.834
331212.906	4310225.935	2814.574
331214.521	4310230.588	2814.990
331216.410	4310235.238	2815.622
331218.084	4310239.802	2816.229
331219.894	4310244.358	2816.926
331221.667	4310248.998	2817.400
331223.344	4310253.765	2817.940
331225.056	4310258.285	2818.537
331226.836	4310262.996	2819.222
331228.535	4310267.603	2819.746
331230.317	4310272.255	2820.394
331232.150	4310276.860	2820.979
331233.845	4310281.441	2821.375
331235.650	4310286.159	2821.838
331237.358	4310290.785	2822.373
331239.133	4310295.451	2823.024
331240.891	4310300.103	2823.586
331242.605	4310304.632	2824.507
331244.319	4310309.205	2825.672
331246.061	4310313.785	2826.666
331247.860	4310318.240	2827.752
331249.622	4310322.853	2828.738
331251.188	4310327.496	2829.643
331252.891	4310332.078	2830.474
331254.538	4310336.805	2831.491
331256.185	4310341.256	2832.463
331257.988	4310345.764	2833.505
331259.628	4310350.442	2834.382
331261.324	4310355.057	2835.387
331263.173	4310359.637	2836.266
331264.894	4310364.231	2837.157
331266.616	4310368.846	2838.030
331268.367	4310373.444	2838.885
331270.087	4310377.937	2840.148
331271.766	4310382.541	2841.019
331273.483	4310387.195	2841.983
331275.188	4310391.771	2842.881
331276.978	4310396.359	2843.880
331278.724	4310400.966	2844.769
331280.388	4310405.550	2845.712
331282.354	4310410.110	2846.699
331284.000	4310414.649	2847.653
331285.703	4310419.238	2848.498
331287.441	4310423.844	2849.352
331289.220	4310428.466	2850.228
331291.025	4310433.057	2851.173
331292.790	4310437.640	2852.026
331294.499	4310442.175	2852.991
331296.339	4310446.774	2853.877
331297.919	4310451.419	2854.846
331299.643	4310455.802	2856.227
331301.342	4310460.241	2857.534
331302.936	4310464.858	2858.779
331304.822	4310469.336	2860.099
331306.556	4310473.780	2861.562
331308.282	4310478.302	2862.699
331309.910	4310482.898	2863.737
331311.625	4310487.334	2864.895
331313.407	4310491.985	2866.050
331315.152	4310496.383	2867.290
331316.773	4310501.017	2868.708
331318.507	4310505.412	2870.210
331320.141	4310509.920	2871.774
331321.640	4310514.385	2872.927
331323.497	4310519.070	2874.011
331325.196	4310523.694	2874.602
331326.982	4310528.325	2875.102
331328.678	4310532.991	2875.622
331330.405	4310537.561	2876.220
331332.010	4310542.273	2876.876
331333.716	4310546.925	2877.666
331335.397	4310551.621	2878.500
331337.208	4310556.225	2879.142
331338.977	4310560.918	2879.477
331340.737	4310565.531	2879.719
331342.426	4310570.260	2880.068
331344.236	4310574.868	2880.003
331346.039	4310579.547	2879.894
331347.690	4310584.150	2879.772
331349.392	4310588.906	2879.622
331351.164	4310593.529	2879.122
331353.058	4310598.197	2878.769
331354.797	4310602.900	2878.443
331356.551	4310607.546	2878.399
331358.409	4310612.135	2878.534
331360.233	4310616.721	2878.773
331361.903	4310621.462	2879.322
331363.635	4310626.085	2879.942
331365.295	4310630.632	2880.668
331367.071	4310635.271	2881.549
331368.828	4310639.847	2882.430
331370.605	4310644.413	2883.267
331372.325	4310648.985	2884.151
331373.995	4310653.553	2885.204
331375.772	4310658.163	2886.238
331377.460	4310662.569	2887.763
331379.095	4310667.052	2888.948
331380.907	4310671.796	2889.772
331382.666	4310676.348	2890.242
331384.510	4310681.092	2890.522
331386.368	4310685.756	2890.748
331388.128	4310690.343	2890.939
331389.855	4310694.945	2890.982
331391.544	4310699.674	2890.162
331393.291	4310704.312	2889.737
331395.112	4310708.936	2889.710
331396.831	4310713.659	2889.296
331398.544	4310718.317	2888.376
331400.181	4310722.860	2887.135
331401.903	4310727.415	2886.209
331403.765	4310732.039	2885.619
331405.539	4310736.650	2885.236
331407.583	4310741.316	2884.971
331409.381	4310745.937	2884.833
331411.246	4310750.602	2884.704
331413.069	4310755.192	2885.058
331415.011	4310759.817	2885.378
331416.731	4310764.414	2885.468
331418.598	4310769.031	2885.881
331420.439	4310773.712	2886.225
331422.353	4310778.293	2886.727
331423.978	4310782.879	2886.871
331425.869	4310787.534	2886.522
331427.703	4310792.238	2886.021
331429.619	4310796.750	2885.396
331431.619	4310801.311	2884.595
331433.320	4310805.960	2883.595
331434.877	4310810.441	2882.247
331436.477	4310814.915	2880.386
331438.062	4310819.312	2879.102
331439.822	4310824.102	2878.769
331441.560	4310828.789	2878.543
331443.290	4310833.405	2877.674
331445.491	4310838.270	2876.756
331447.152	4310842.766	2876.832
331448.685	4310847.309	2877.327
331450.589	4310851.826	2877.721
331452.122	4310856.489	2878.369
