Gatecenter   Gatestart   Gatewidth   GateFactor   ExtraGateSTD
5.7870e-06   5.2080e-06   1.1580e-06   1.0   0.0
6.9440e-06   6.3660e-06   1.1570e-06   1.0   0.0
8.1020e-06   7.5230e-06   1.1580e-06   1.0   0.0
9.2590e-06   8.6810e-06   1.2730e-06   1.0   0.0
1.0648e-05   9.9540e-06   1.5040e-06   1.0   0.0
1.2269e-05   1.1458e-05   1.6790e-06   1.0   0.0
1.4005e-05   1.3137e-05   1.9090e-06   1.0   0.0
1.6088e-05   1.5046e-05   2.2570e-06   1.0   0.0
1.8519e-05   1.7303e-05   2.6040e-06   1.0   0.0
2.1296e-05   1.9907e-05   2.9520e-06   1.0   0.0
2.4421e-05   2.2859e-05   3.3560e-06   1.0   0.0
2.8009e-05   2.6215e-05   3.9350e-06   1.0   0.0
3.2292e-05   3.0150e-05   4.5140e-06   1.0   0.0
3.7037e-05   3.4664e-05   5.1510e-06   1.0   0.0
4.2593e-05   3.9815e-05   5.9030e-06   1.0   0.0
4.8843e-05   4.5718e-05   6.7700e-06   1.0   0.0
5.6134e-05   5.2488e-05   7.8130e-06   1.0   0.0
6.4468e-05   6.0301e-05   8.9700e-06   1.0   0.0
7.4074e-05   6.9271e-05   1.0301e-05   1.0   0.0
8.5069e-05   7.9572e-05   1.1805e-05   1.0   0.0
9.7685e-05   9.1377e-05   1.3600e-05   1.0   0.0
1.1227e-04   1.0498e-04   1.5625e-05   1.0   0.0
1.2894e-04   1.2060e-04   1.7940e-05   1.0   0.0
1.4815e-04   1.3854e-04   2.0602e-05   1.0   0.0
1.7014e-04   1.5914e-04   2.3726e-05   1.0   0.0
1.9560e-04   1.8287e-04   2.7199e-05   1.0   0.0
2.2454e-04   2.1007e-04   3.1250e-05   1.0   0.0
2.5810e-04   2.4132e-04   3.5880e-05   1.0   0.0
2.9630e-04   2.7720e-04   4.1088e-05   1.0   0.0
3.4028e-04   3.1829e-04   4.7454e-05   1.0   0.0
3.9120e-04   3.6574e-04   5.4398e-05   1.0   0.0
4.4907e-04   4.2014e-04   6.2500e-05   1.0   0.0
5.1620e-04   4.8264e-04   7.1759e-05   1.0   0.0
5.9259e-04   5.5440e-04   8.2176e-05   1.0   0.0
6.8056e-04   6.3657e-04   9.4907e-05   1.0   0.0
7.8241e-04   7.3148e-04   1.0880e-04   1.0   0.0
8.9815e-04   8.4028e-04   1.2442e-04   1.0   0.0
1.0313e-03   9.6470e-04   1.4352e-04   1.0   0.0
1.1852e-03   1.1082e-03   1.6493e-04   1.0   0.0
1.3611e-03   1.2731e-03   1.8924e-04   1.0   0.0
1.5637e-03   1.4624e-03   2.1759e-04   1.0   0.0
1.7963e-03   1.6800e-03   2.5000e-04   1.0   0.0
2.0637e-03   1.9300e-03   2.8704e-04   1.0   0.0
2.3704e-03   2.2170e-03   3.2928e-04   1.0   0.0
2.7222e-03   2.5463e-03   3.7847e-04   1.0   0.0
3.1273e-03   2.9248e-03   4.3519e-04   1.0   0.0
3.5926e-03   3.3600e-03   5.0000e-04   1.0   0.0
4.1273e-03   3.8600e-03   5.7407e-04   1.0   0.0
4.7407e-03   4.4340e-03   6.5914e-04   1.0   0.0
5.4456e-03   5.0932e-03   7.5752e-04   1.0   0.0
6.2558e-03   5.8507e-03   8.6979e-04   1.0   0.0
7.1852e-03   6.7205e-03   9.9942e-04   1.0   0.0
8.2546e-03   7.7199e-03   1.1481e-03   1.0   0.0
