Time Amperes_Normalized
-0.00709144 0.00000000
-0.00687800 0.46750000
-0.00626000 0.40310000
-0.00604500 0.72380000
-0.00542700 0.63010000
-0.00521300 0.79860000
-0.00459300 0.69710000
-0.00438100 0.85540000
-0.00375800 0.74770000
-0.00354600 0.90250000
-0.00292400 0.78970000
-0.00271500 0.94110000
-0.00209300 0.82370000
-0.00188000 0.97350000
-0.00125900 0.85210000
-0.00104500 0.99990000
-0.00042710 0.87460000
-0.00035880 0.78220000
-0.00028940 0.66130000
-0.00021300 0.50470000
-0.00014240 0.33430000
-0.00007639 0.18580000
-0.00001620 0.03838000
0.00000000 0.00000000
